ticker,event_date,bank,action,old_target,new_target,target_change_pct,source_url
VRT,2026-02-13,Morgan Stanley,target_change,200.0,285.0,0.425,https://finance.yahoo.com/markets/stocks/articles/morgan-stanley-oppenheimer-goldman-sachs-204328851.html
VRT,2026-02-13,Goldman Sachs,target_change,204.0,277.0,0.358,https://www.gurufocus.com/news/8611608/vertiv-holdings-vrt-analyst-rating-update-goldman-sachs-raises-price-target-to-277-vrt-stock-news
CEG,2024-09-23,Morgan Stanley,target_change,233.0,313.0,0.343,https://www.cnbc.com/2024/09/23/morgan-stanley-sees-upside-for-ceg-other-stocks-after-nuclear-restart.html
GEV,2025-06-24,Morgan Stanley,target_change,422.0,511.0,0.211,https://www.investing.com/news/stock-market-news/ge-vernova-price-target-raised-to-511-from-422-at-morgan-stanley-93CH-4107429
PWR,2025-12-08,JP Morgan,upgrade,457.0,515.0,0.127,https://www.investing.com/news/analyst-ratings/quanta-services-stock-rating-upgraded-by-jpmorgan-on-large-project-outlook-93CH-4395495
ANET,2026-02-13,Goldman Sachs,target_change,165.0,188.0,0.139,https://www.tipranks.com/news/the-fly/arista-networks-price-target-raised-to-188-from-165-at-goldman-sachs-thefly
GEV,2025-12-17,Goldman Sachs,target_change,735.0,840.0,0.143,https://finance.yahoo.com/news/ge-vernova-price-target-raised-123510536.html
MOD,2026-02-01,UBS,target_change,173.0,210.0,0.214,https://www.timothysykes.com/news/modinemanufacturingcompany-mod-news-2026_02_01-2/
VRT,2026-04-24,JP Morgan,target_change,305.0,350.0,0.148,https://www.themarketsdaily.com/2026/04/24/vertiv-nysevrt-price-target-raised-to-350-00-at-jpmorgan-chase-co.html
VRT,2026-04-23,Morgan Stanley,target_change,285.0,350.0,0.228,https://www.investing.com/news/analyst-ratings/morgan-stanley-raises-vertiv-stock-price-target-on-data-center-growth-93CH-4631672
ETN,2026-01-05,UBS,downgrade,440.0,360.0,-0.182,https://stockanalysis.com/stocks/etn/forecast/
