event_date,event_type,description,xlk_t1_return,source_url
2023-07-03,china_critical_minerals_retaliation,China Ministry of Commerce announces export restrictions on gallium and germanium effective August 2023 in retaliation to US chip controls,,https://theoregongroup.com/commodities/gallium-germanium/china-lifts-export-ban-gallium-germanium-antimony/
2023-10-17,bis_oct2023_chip_controls_update,BIS releases interim final rules expanding October 2022 controls on advanced computing and SME plus Entity List additions,,https://www.bis.gov/press-release/commerce-strengthens-export-controls-restrict-chinas-capability-produce-advanced-semiconductors-military
2024-08-15,china_antimony_controls,China announces export controls on antimony and related items,,https://www.csis.org/analysis/china-imposes-its-most-stringent-critical-minerals-export-restrictions-yet-amidst
2024-12-02,bis_dec2024_hbm_sme,BIS issues controls on 24 semiconductor manufacturing equipment types plus HBM rules plus 140 Entity List additions,,https://www.alston.com/en/insights/publications/2024/12/export-controls-computing-semiconductor-items
2024-12-03,china_comprehensive_ban_us,China bans exports of gallium germanium antimony and superhard materials to the US in direct retaliation to BIS December 2024,,https://www.csis.org/analysis/china-imposes-its-most-stringent-critical-minerals-export-restrictions-yet-amidst
2025-01-15,bis_ai_diffusion_rule,BIS Framework for AI Diffusion global performance thresholds blocking H100 H200 exports to China via third countries,,https://builtin.com/articles/trump-lifts-ai-chip-ban-china-nvidia
2025-01-27,deepseek_r1_shock,DeepSeek R1 model release triggers semis selloff with NVDA -17 percent AVGO -17 percent ASML -6 percent TSM significant drop $600B market value loss,,https://www.cnn.com/2025/01/27/tech/deepseek-stocks-ai-china/index.html
2025-02-04,china_tungsten_controls,China announces export control measures for tungsten tellurium bismuth molybdenum and indium under 41 HS codes,,https://www.csis.org/analysis/china-imposes-its-most-stringent-critical-minerals-export-restrictions-yet-amidst
2025-08-29,bis_aug2025_foreign_fab_loophole,BIS closes Biden-era loophole allowing foreign-owned companies to export SME to China license-free,,https://www.bis.gov/press-release/department-commerce-closes-export-controls-loophole-foreign-owned-semiconductor-fabs-china
2025-12-08,trump_h200_reversal_announcement,Trump announces H200 sales to approved Chinese customers reversing prior restrictions,,https://builtin.com/articles/trump-lifts-ai-chip-ban-china-nvidia
2026-01-13,bis_jan2026_license_revision,BIS revises license policy reviewing H200 MI325X case-by-case for China provided security requirements are met,,https://www.bis.gov/press-release/department-commerce-revises-license-review-policy-semiconductors-exported-china
